Year,Crop,Total Planted (Acres),No-Till,Mulch-Till,Reduced-Till,Conventional-Till,CPR,No-Till_per,Mulch-Till_per,Reduced-Till_per,Conventional-Till_per,CPR_per,
1989,TOTAL,649200,18905,108000,80590,441705,22300,0.028153388,0.160833954,0.120014892,0.657788533,0.033209233,
1990,TOTAL,668000,26370,43978,46935,550717,22300,0.038200782,0.063708533,0.067992177,0.797793713,0.032304795,
1991,TOTAL,1131000,23400,50000,75500,982100,22300,0.020289604,0.043353854,0.06546432,0.851556403,0.019335819,
1992,TOTAL,491967,13960,139200,148000,190807,35230,0.026479665,0.264037921,0.280729974,0.361927325,0.066825115,
1993,TOTAL,857855,51291,94756,386158,325650,45976,0.056748441,0.104838183,0.427245801,0.360299658,0.050867917,
1994,TOTAL,809031,50511,184500,282120,291900,45976,0.059076709,0.215787707,0.329962211,0.341400714,0.053772659,
1995,TOTAL,857855,56296,181307,241602,378650,45976,0.06228598,0.200598342,0.267308822,0.418938939,0.050867917,
1996,TOTAL,887040,77540,201500,310000,298000,46000,0.08310469,0.215960731,0.332247278,0.319386093,0.049301209,
1997,TOTAL,900600,91100,201500,310000,298000,52000,0.095633004,0.211526349,0.325425152,0.31282805,0.054587445,
1998,TOTAL,900544,109393,198500,298000,294651,48500,0.115266521,0.209157847,0.314000194,0.31047138,0.051104058,
2002,TOTAL,733170,90650,96000,281800,264720,135755,0.104324309,0.110481342,0.324308772,0.3046523,0.156233277,
2004,TOTAL,717202,106391,115678,306204,188929,149790,0.122712782,0.13342453,0.353179729,0.217913199,0.17276976,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
