Year,Rent_dol_acre,Area_acre
1995,65.18052131,45853.6
1996,64.94271192,46408.4
1997,64.99462767,49667.1
1998,66.18238534,48605.6
1999,68.29769825,60730.3
2000,71.68269956,99648.9
2001,73.73624423,134405.7
2002,73.91937272,136350
2003,74.11888542,139711
2004,73.58449149,146167.1
2005,73.65342445,155469.4
2006,73.94102569,170423.8
2007,73.64620654,198580.3
2008,73.80824101,196002.4
2009,73.79543349,194801.5
2010,73.8766985,193733.5
2011,74.1409445,193038.9
2012,74.51593196,192825.7
2013,75.15238175,190297.1
2014,76.82586124,170000
2015,77.19094227,150773.9
2016,77.87,131914.26
2017,79.83,122819.56
2018,79.98,123919.28
