area_ha,hillslope,CT_t_ha1,MT_t_ha1,NT_t_ha1,grass_t_ha1,area_cum_ha,int,log_area_cum,log_int,erosion_ct_ton,sum_ct_erosion_ton,erosion_int
5.4,24,45.008,20.673,12.668,0.001,5.4,"[5.4,2.1e+03]",1.68639895357023,"[1.69,3.2]",243.0432,243.0432,"[243,7.99e+03]"
12.69,3,33.697,11.732,8.939,0.243,18.09,"[5.4,2.1e+03]",2.8953592994072,"[1.69,3.2]",427.61493,670.65813,"[243,7.99e+03]"
28.44,763,33.047,9.909,3.302,0.194,46.53,"[5.4,2.1e+03]",3.84009726585656,"(3.2,4.71]",939.85668,1610.51481,"[243,7.99e+03]"
25.11,606,29.979,7.246,0.58,0.228,71.64,"[5.4,2.1e+03]",4.27165357719251,"(3.2,4.71]",752.77269,2363.2875,"[243,7.99e+03]"
20.16,17,28.649,10.32,6.804,0.001,91.8,"[5.4,2.1e+03]",4.51961229762645,"(3.2,4.71]",577.56384,2940.85134,"[243,7.99e+03]"
10.08,18,27.164,8.321,5.729,0.124,101.88,"[5.4,2.1e+03]",4.62379565011126,"(3.2,4.71]",273.81312,3214.66446,"[243,7.99e+03]"
11.25,355,26.737,6.76,1.021,0.126,113.13,"[5.4,2.1e+03]",4.72853759993838,"(4.71,6.23]",300.79125,3515.45571,"[243,7.99e+03]"
13.77,734,26.135,7.926,2.557,0.201,126.9,"[5.4,2.1e+03]",4.84339937472034,"(4.71,6.23]",359.87895,3875.33466,"[243,7.99e+03]"
14.31,354,25.766,8.35,2.609,0.148,141.21,"[5.4,2.1e+03]",4.95024814408116,"(4.71,6.23]",368.71146,4244.04612,"[243,7.99e+03]"
10.17,617,25.07,6.843,0.758,0.689,151.38,"[5.4,2.1e+03]",5.01979323188102,"(4.71,6.23]",254.9619,4499.00802,"[243,7.99e+03]"
11.61,731,25.028,7.397,2.355,0.19,162.99,"[5.4,2.1e+03]",5.09368884923154,"(4.71,6.23]",290.57508,4789.5831,"[243,7.99e+03]"
10.53,768,24.288,6.359,1.577,0.021,173.52,"[5.4,2.1e+03]",5.15629286651862,"(4.71,6.23]",255.75264,5045.33574,"[243,7.99e+03]"
13.05,691,23.408,3.586,1.161,0.087,186.57,"[5.4,2.1e+03]",5.22880650378391,"(4.71,6.23]",305.4744,5350.81014,"[243,7.99e+03]"
14.67,718,22.477,4.526,1.432,0.027,201.24,"[5.4,2.1e+03]",5.30449822562312,"(4.71,6.23]",329.73759,5680.54773,"[243,7.99e+03]"
10.89,620,22.089,5.566,0.355,0.459,212.13,"[5.4,2.1e+03]",5.35719929428426,"(4.71,6.23]",240.54921,5921.09694,"[243,7.99e+03]"
13.5,84,21.827,8.939,2.547,0.45,225.63,"[5.4,2.1e+03]",5.41889648950642,"(4.71,6.23]",294.6645,6215.76144,"[243,7.99e+03]"
1.98,186,21.589,5.958,1.621,0.037,227.61,"[5.4,2.1e+03]",5.42763363801809,"(4.71,6.23]",42.74622,6258.50766,"[243,7.99e+03]"
10.89,369,21.394,5.603,2.087,0.056,238.5,"[5.4,2.1e+03]",5.4743693103284,"(4.71,6.23]",232.98066,6491.48832,"[243,7.99e+03]"
10.35,623,21.221,5.602,0.383,0.161,248.85,"[5.4,2.1e+03]",5.51685030530456,"(4.71,6.23]",219.63735,6711.12567,"[243,7.99e+03]"
11.07,39,21.201,8.053,2.093,0.499,259.92,"[5.4,2.1e+03]",5.56037389136085,"(4.71,6.23]",234.69507,6945.82074,"[243,7.99e+03]"
14.04,503,21.12,5.639,1.233,0.001,273.96,"[5.4,2.1e+03]",5.6129821103297,"(4.71,6.23]",296.5248,7242.34554,"[243,7.99e+03]"
10.17,334,20.825,5.774,2.148,0.001,284.13,"[5.4,2.1e+03]",5.64943187990612,"(4.71,6.23]",211.79025,7454.13579,"[243,7.99e+03]"
10.08,735,20.515,5.061,1.49,0.017,294.21,"[5.4,2.1e+03]",5.68429379807234,"(4.71,6.23]",206.7912,7660.92699,"[243,7.99e+03]"
7.47,4,20.455,8.281,6.107,0.001,301.68,"[5.4,2.1e+03]",5.7093668529501,"(4.71,6.23]",152.79885,7813.72584,"[243,7.99e+03]"
11.07,765,20.269,4.92,1.232,0.001,312.75,"[5.4,2.1e+03]",5.74540414934702,"(4.71,6.23]",224.37783,8038.10367,"(7.99e+03,1.57e+04]"
10.44,743,19.832,5.351,1.47,0.03,323.19,"[5.4,2.1e+03]",5.77824038557421,"(4.71,6.23]",207.04608,8245.14975,"(7.99e+03,1.57e+04]"
11.16,362,19.131,4.519,1.595,0.003,334.35,"[5.4,2.1e+03]",5.81218834849999,"(4.71,6.23]",213.50196,8458.65171,"(7.99e+03,1.57e+04]"
18.45,622,19.052,6.565,2.037,0.185,352.8,"[5.4,2.1e+03]",5.86590132413264,"(4.71,6.23]",351.5094,8810.16111,"(7.99e+03,1.57e+04]"
10.53,698,18.7,4.395,1.51,0.005,363.33,"[5.4,2.1e+03]",5.89531151220107,"(4.71,6.23]",196.911,9007.07211,"(7.99e+03,1.57e+04]"
1.98,6,18.532,6.487,2.828,0.001,365.31,"[5.4,2.1e+03]",5.90074630818703,"(4.71,6.23]",36.69336,9043.76547,"(7.99e+03,1.57e+04]"
9.99,525,17.954,4.358,1.617,0.034,375.3,"[5.4,2.1e+03]",5.92772570614098,"(4.71,6.23]",179.36046,9223.12593,"(7.99e+03,1.57e+04]"
12.6,365,17.716,3.11,0.194,0.304,387.9,"[5.4,2.1e+03]",5.96074757444592,"(4.71,6.23]",223.2216,9446.34753,"(7.99e+03,1.57e+04]"
10.98,43,17.569,5.392,1.71,0.197,398.88,"[5.4,2.1e+03]",5.98866061977525,"(4.71,6.23]",192.90762,9639.25515,"(7.99e+03,1.57e+04]"
10.17,47,17.517,4.677,1.477,0.502,409.05,"[5.4,2.1e+03]",6.01383739795971,"(4.71,6.23]",178.14789,9817.40304,"(7.99e+03,1.57e+04]"
26.46,621,16.91,3.554,0.882,0.001,435.51,"[5.4,2.1e+03]",6.07651775814145,"(4.71,6.23]",447.4386,10264.84164,"(7.99e+03,1.57e+04]"
1.17,11,16.852,6.61,3.032,0.001,436.68,"[5.4,2.1e+03]",6.07920066141207,"(4.71,6.23]",19.71684,10284.55848,"(7.99e+03,1.57e+04]"
11.7,92,16.821,4.873,1.2,0.074,448.38,"[5.4,2.1e+03]",6.10564108717025,"(4.71,6.23]",196.8057,10481.36418,"(7.99e+03,1.57e+04]"
13.14,367,16.651,3.53,0.147,0.001,461.52,"[5.4,2.1e+03]",6.13452538994863,"(4.71,6.23]",218.79414,10700.15832,"(7.99e+03,1.57e+04]"
10.35,759,16.62,2.891,0.34,0.001,471.87,"[5.4,2.1e+03]",6.15670352392066,"(4.71,6.23]",172.017,10872.17532,"(7.99e+03,1.57e+04]"
10.17,775,16.471,2.968,1.249,0.001,482.04,"[5.4,2.1e+03]",6.17802709815919,"(4.71,6.23]",167.51007,11039.68539,"(7.99e+03,1.57e+04]"
15.75,38,15.63,4.906,1.45,0.189,497.79,"[5.4,2.1e+03]",6.21017830134281,"(4.71,6.23]",246.1725,11285.85789,"(7.99e+03,1.57e+04]"
25.02,16,15.458,4.838,2.882,0.04,522.81,"[5.4,2.1e+03]",6.25921810934066,"(6.23,7.74]",386.75916,11672.61705,"(7.99e+03,1.57e+04]"
41.94,411,15.345,5.063,1.621,0.1,564.75,"[5.4,2.1e+03]",6.33638315534811,"(6.23,7.74]",643.5693,12316.18635,"(7.99e+03,1.57e+04]"
11.7,1045,15.187,4.422,1.416,0.099,576.45,"[5.4,2.1e+03]",6.35688860567896,"(6.23,7.74]",177.6879,12493.87425,"(7.99e+03,1.57e+04]"
10.53,506,15.162,3.408,1.062,0.001,586.98,"[5.4,2.1e+03]",6.37499074769739,"(6.23,7.74]",159.65586,12653.53011,"(7.99e+03,1.57e+04]"
11.61,764,15.114,2.674,0.266,0.001,598.59,"[5.4,2.1e+03]",6.39457688963255,"(6.23,7.74]",175.47354,12829.00365,"(7.99e+03,1.57e+04]"
10.17,13,14.729,4.333,3.02,0.002,608.76,"[5.4,2.1e+03]",6.4114241013666,"(6.23,7.74]",149.79393,12978.79758,"(7.99e+03,1.57e+04]"
9.99,680,14.553,1.925,0.469,0.001,618.75,"[5.4,2.1e+03]",6.4277013138829,"(6.23,7.74]",145.38447,13124.18205,"(7.99e+03,1.57e+04]"
11.61,300,14.515,3.843,1.486,0.009,630.36,"[5.4,2.1e+03]",6.44629108475387,"(6.23,7.74]",168.51915,13292.7012,"(7.99e+03,1.57e+04]"
12.33,615,14.355,2.585,0.933,0.001,642.69,"[5.4,2.1e+03]",6.46566249289724,"(6.23,7.74]",176.99715,13469.69835,"(7.99e+03,1.57e+04]"
8.73,200,14.25,3.482,0.507,0.027,651.42,"[5.4,2.1e+03]",6.47915459547182,"(6.23,7.74]",124.4025,13594.10085,"(7.99e+03,1.57e+04]"
12.24,530,14.246,2.413,0.894,0.001,663.66,"[5.4,2.1e+03]",6.49776997014222,"(6.23,7.74]",174.37104,13768.47189,"(7.99e+03,1.57e+04]"
11.25,44,13.953,3.874,1.131,0.088,674.91,"[5.4,2.1e+03]",6.51457934864952,"(6.23,7.74]",156.97125,13925.44314,"(7.99e+03,1.57e+04]"
19.17,1200,13.863,2.432,0.82,0.001,694.08,"[5.4,2.1e+03]",6.54258722763851,"(6.23,7.74]",265.75371,14191.19685,"(7.99e+03,1.57e+04]"
32.76,188,13.85,3.127,0.886,0.001,726.84,"[5.4,2.1e+03]",6.58870637078086,"(6.23,7.74]",453.726,14644.92285,"(7.99e+03,1.57e+04]"
14.67,336,13.662,2.789,0.167,0.154,741.51,"[5.4,2.1e+03]",6.60868864766372,"(6.23,7.74]",200.42154,14845.34439,"(7.99e+03,1.57e+04]"
5.04,627,13.033,2.017,0.434,0.001,746.55,"[5.4,2.1e+03]",6.61546259397267,"(6.23,7.74]",65.68632,14911.03071,"(7.99e+03,1.57e+04]"
11.61,82,12.955,2.434,0.52,0.001,758.16,"[5.4,2.1e+03]",6.63089444516194,"(6.23,7.74]",150.40755,15061.43826,"(7.99e+03,1.57e+04]"
