Topaz_ID	 WEPP_ID	 OFEs	 Area_cells	Soil_File	Management_File	Slope_file
22	1	10	225	soil/68590_10.sl	man/ww_barley_fallow_Int_Precip_mt_10.man	slope/H1.slp
23	2	5	129	soil/68523_5.sl	man/ww_barley_fallow_Int_Precip_mt_5.man	slope/H2.slp
32	3	11	141	soil/68507_11.sl	man/ww_barley_fallow_Int_Precip_mt_11.man	slope/H3.slp
33	4	6	83	soil/68507_6.sl	man/ww_barley_fallow_Int_Precip_mt_6.man	slope/H4.slp
42	5	1	9	soil/68507_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H5.slp
43	6	3	22	soil/68507_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H6.slp
52	7	7	276	soil/68507_7.sl	man/ww_barley_fallow_Int_Precip_mt_7.man	slope/H7.slp
51	8	10	115	soil/68507_10.sl	man/ww_barley_fallow_Int_Precip_mt_10.man	slope/H8.slp
53	9	1	85	soil/68507_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H9.slp
62	10	5	17	soil/68507_5.sl	man/ww_barley_fallow_Int_Precip_mt_5.man	slope/H10.slp
63	11	4	13	soil/68507_4.sl	man/ww_barley_fallow_Int_Precip_mt_4.man	slope/H11.slp
72	12	1	1	soil/68507_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H12.slp
81	13	14	113	soil/68507_14.sl	man/ww_barley_fallow_Int_Precip_mt_14.man	slope/H13.slp
82	14	1	7	soil/68507_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H14.slp
83	15	1	11	soil/68507_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H15.slp
92	16	10	278	soil/68507_10.sl	man/ww_barley_fallow_Int_Precip_mt_10.man	slope/H16.slp
93	17	8	224	soil/68507_8.sl	man/ww_barley_fallow_Int_Precip_mt_8.man	slope/H17.slp
101	18	15	112	soil/68507_15.sl	man/ww_barley_fallow_Int_Precip_mt_15.man	slope/H18.slp
103	19	1	15	soil/68507_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H19.slp
102	20	1	8	soil/68507_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H20.slp
113	21	1	6	soil/68507_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H21.slp
112	22	1	6	soil/68507_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H22.slp
122	23	1	18	soil/68507_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H23.slp
123	24	5	60	soil/68507_5.sl	man/ww_barley_fallow_Int_Precip_mt_5.man	slope/H24.slp
132	25	5	223	soil/68507_5.sl	man/ww_barley_fallow_Int_Precip_mt_5.man	slope/H25.slp
133	26	5	207	soil/68507_5.sl	man/ww_barley_fallow_Int_Precip_mt_5.man	slope/H26.slp
142	27	12	204	soil/68494_12.sl	man/ww_barley_fallow_Int_Precip_mt_12.man	slope/H27.slp
141	28	10	120	soil/68538_10.sl	man/ww_barley_fallow_Int_Precip_mt_10.man	slope/H28.slp
143	29	5	89	soil/68538_5.sl	man/ww_barley_fallow_Int_Precip_mt_5.man	slope/H29.slp
