topaz	"ID,"	WEPP	"ID,"	area	(cells)
22	1	225			
23	2	129			
32	3	141			
33	4	83			
42	5	9			
43	6	22			
52	7	276			
51	8	115			
53	9	85			
62	10	17			
63	11	13			
72	12	1			
81	13	113			
82	14	7			
83	15	11			
92	16	278			
93	17	224			
101	18	112			
103	19	15			
102	20	8			
113	21	6			
112	22	6			
122	23	18			
123	24	60			
132	25	223			
133	26	207			
142	27	204			
141	28	120			
143	29	89			
152	30	61			
153	31	60			
151	32	111			
162	33	32			
163	34	49			
171	35	114			
172	36	83			
173	37	132			
182	38	175			
183	39	123			
191	40	119			
192	41	28			
193	42	82			
202	43	122			
203	44	125			
212	45	118			
213	46	70			
222	47	113			
223	48	34			
232	49	140			
233	50	74			
241	51	115			
242	52	308			
243	53	325			
251	54	111			
252	55	15			
253	56	21			
263	57	6			
262	58	6			
272	59	212			
273	60	328			
281	61	114			
283	62	56			
282	63	72			
292	64	66			
293	65	137			
302	66	55			
303	67	29			
311	68	116			
312	69	69			
313	70	52			
322	71	147			
323	72	77			
331	73	122			
332	74	46			
333	75	48			
341	76	122			
342	77	21			
343	78	50			
351	79	127			
352	80	27			
353	81	64			
363	82	129			
362	83	54			
372	84	150			
373	85	145			
382	86	39			
381	87	113			
383	88	39			
392	89	110			
393	90	166			
403	91	2			
411	92	130			
412	93	54			
413	94	6			
422	95	82			
423	96	8			
432	97	44			
433	98	59			
442	99	73			
443	100	155			
452	101	84			
453	102	11			
462	103	103			
463	104	119			
472	105	155			
473	106	5			
481	107	116			
482	108	24			
483	109	8			
492	110	19			
493	111	20			
501	112	116			
502	113	120			
503	114	63			
511	115	113			
512	116	199			
513	117	233			
522	118	19			
523	119	31			
532	120	25			
533	121	33			
542	122	22			
543	123	55			
552	124	112			
553	125	62			
561	126	116			
562	127	145			
563	128	94			
571	129	118			
572	130	55			
573	131	113			
582	132	48			
583	133	8			
591	134	127			
592	135	57			
593	136	54			
602	137	142			
603	138	42			
611	139	119			
612	140	53			
613	141	42			
623	142	1			
622	143	6			
632	144	86			
633	145	5			
642	146	6			
643	147	28			
652	148	113			
653	149	179			
661	150	121			
663	151	231			
662	152	50			
671	153	156			
672	154	24			
673	155	39			
682	156	40			
683	157	20			
692	158	17			
693	159	12			
702	160	8			
703	161	4			
711	162	114			
712	163	37			
713	164	41			
722	165	171			
723	166	160			
732	167	7			
741	168	112			
742	169	24			
743	170	15			
752	171	11			
753	172	33			
762	173	230			
761	174	119			
763	175	69			
772	176	16			
773	177	34			
782	178	113			
783	179	151			
791	180	169			
792	181	149			
793	182	76			
801	183	112			
802	184	8			
803	185	28			
813	186	22			
822	187	272			
823	188	364			
832	189	3			
833	190	7			
841	191	115			
842	192	218			
843	193	288			
852	194	85			
853	195	89			
861	196	113			
862	197	4			
863	198	6			
872	199	120			
873	200	97			
881	201	120			
882	202	148			
883	203	71			
892	204	7			
893	205	29			
901	206	112			
903	207	414			
902	208	156			
912	209	2			
922	210	130			
923	211	83			
931	212	112			
932	213	85			
933	214	31			
942	215	3			
943	216	135			
952	217	183			
953	218	237			
961	219	137			
963	220	31			
962	221	36			
973	222	2			
982	223	3			
983	224	3			
991	225	132			
992	226	177			
993	227	113			
1001	228	167			
1002	229	76			
1003	230	50			
1011	231	111			
1012	232	48			
1013	233	86			
1022	234	103			
1023	235	26			
1032	236	7			
1033	237	12			
1041	238	116			
1042	239	138			
1043	240	76			
1052	241	76			
1053	242	34			
1062	243	210			
1063	244	202			
1072	245	95			
1073	246	200			
1082	247	65			
1083	248	65			
1092	249	32			
1093	250	7			
1101	251	112			
1102	252	19			
1103	253	11			
1112	254	52			
1113	255	65			
1121	256	120			
1122	257	75			
1123	258	47			
1131	259	117			
1132	260	30			
1133	261	43			
1141	262	115			
1142	263	10			
1143	264	20			
1151	265	116			
1152	266	58			
1153	267	50			
1162	268	57			
1163	269	40			
